unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
B0000D9MZM:horrible_service:ian_hamilton,B0000D9MZM,French Cheese Assortment (2 Pound) by igourmet.com: Gourmet Food,gourmet food,4 of 12,1.0,Horrible service,"December 30, 2004",Ian Hamilton,"Chicago, USA","The actual cheese is GREAT, if you can get them to ship to you.  Ordered items as gifts - took over a week to ship.  For timely gifts you would be better off going around the corner.  Otherwise a great deal"
"B00020VHWS:marshmallow_cream__not!!:l._owens_""pudding_98""",B00020VHWS,Sugar Free Marshmallow Cream - Carb Free: Gourmet Food,gourmet food,0 of 2,2.0,Marshmallow Cream  NOT!!,"October 9, 2006","L. Owens ""pudding 98""","St.Peters, Mo USA",I was very disappointed. It has a definite after taste. I was surprised at the small container size. After tasting I was glad it was small. Would I order it again? Yuck!
B000EVOSE4:tasty_rubber:saltpeanuts,B000EVOSE4,"Haribo Gummi Candy, Gold-Bears, 5-Pound Bag: Gourmet Food",gourmet food,1 of 3,1.0,Tasty Rubber,"October 26, 2006",saltpeanuts,NYC,"I expected something softer in texture, but these are like chewing on rubber with flavor.  Much too hard for my 3 y/old child.  If you're looking for something tasty & softer in texture, try Kasugai Gummy Candies"
B000AQJRWG:not_quite_a_pasta/_noodle_substitute:a._wilson,B000AQJRWG,"House Foods America Corporation Tofu Shirataki, Noodle Shaped Tofu, 8.00 oz: Gourmet Food",gourmet food,2 of 3,1.0,NOT quite a Pasta/ Noodle Substitute,"October 16, 2006",A. Wilson,"MD, USA","After reading a number a positive reviews on the product, I wanted to try it.  I am glad I just went to my local Whole Foods Supermarket, instead of paying excessive ship/g costs when ordering online.  Basically, I do Not like it...don't like the taste or texture; I am not really bothered by the smell once it is rinsed.  

I eat Tofu products regularly and I also eat pasta occasionally and would rather eat my whole wheat pasta 1-2x/mth than eat this tofu-noodle regularly.  However, everyone has different tastes. So if you want to try it, get it from your local grocer (if they carry it), otherwise don't waste your money on ship/g"
B000AQJRWG:absolutely_disgusting:kelsey,B000AQJRWG,"House Foods America Corporation Tofu Shirataki, Noodle Shaped Tofu, 8.00 oz: Gourmet Food",gourmet food,4 of 10,1.0,absolutely disgusting,"June 18, 2006",Kelsey,"Chicago, Illinois","This small package of noodles came to me in a huge box, which I thought was a huge waste and completely unnessecary.  And, when I opened the box, a small melted ice pack failed to keep the noodles cold, so they were hot and smelled terrible.  I had to throw them in the trash outside right away because of the smell, and called Gristedes and left an upset, yet polite message.  It has been almost a week and I have not heard from them.  Don't waste your money on this supposedly ""great deal.""  It's not worth it"
B000AQJRWG:worst_tofu_product_ever:sarah_m.,B000AQJRWG,"House Foods America Corporation Tofu Shirataki, Noodle Shaped Tofu, 8.00 oz: Gourmet Food",gourmet food,2 of 4,1.0,Worst tofu product ever,"May 10, 2006",Sarah M.,"Boston, MA","As a vegan, I have tried just about every tofu product on the market, and nothing ever came close to the terrible texture of these noodles.

The smell when you opened the bag was not pleasant, but if you wash them off and parboil, that goes away, but is replaced with a slightly sweet smell that I disliked almost as much.

But I kept an open mind, cooked the noodles for a few minutes, added my favorite sauce and fresh ground pepper with some soy cheese grated on top.  Whoever said it was like eating rubber bands was exactly on target, they are incredibly chewy and just don't taste that great either. Even as a low calorie food, it seems like a waste to spend 40 calories on these noodles."
"B0002L3BYE:j._w.:j._whitacre_""j.w.""",B0002L3BYE,Walden Farms Sugar Free Marshmallow Dip: Gourmet Food,gourmet food,3 of 3,1.0,J. W.,"July 29, 2006","J. Whitacre ""J.W.""","Covina, CA","This was the most disgusting diet product I've tried.  I love marshmallow dip, and this wasn't even close to tasting like it.  It has a chemical taste, like you're eating spun plastic, and makes you actually scared to eat it.  Why even bother eating it.  I'll stick with fat free whipped topping -- at least it has flavor"
B0002L3BYE:nasty_stuff:steven_grimm,B0002L3BYE,Walden Farms Sugar Free Marshmallow Dip: Gourmet Food,gourmet food,4 of 4,1.0,Nasty stuff,"February 15, 2006",Steven Grimm,"Sunnyvale, CA USA","I like some of the other Walden Farms products -- I gave their chocolate dip 4 stars -- but this one is not very good. I tried dipping different kinds of fruit into it, tried it in combination with the chocolate dip, and finally gave up and threw the rest of it away. The cellulose gel Walden Farms uses to give its sauces body seems to have a slight spicy/sour ""bite"" to it; it doesn't bother me in the chocolate dip or in most of their dressings, but here it ruins the flavor"
"B0002L3BYE:horribly_disgusting:vacachico_""vacachico""",B0002L3BYE,Walden Farms Sugar Free Marshmallow Dip: Gourmet Food,gourmet food,3 of 3,1.0,Horribly disgusting,"August 18, 2005","VacaChico ""vacachico""",United States,"I absolutely would recommend avoiding this item. It has a vile aftertaste - even if you can stomach artificial sweetener, this product's flavor is so blatantly unnatural. If you can get past the sweetener and the frightening list of ingredients, the texture isn't particularly appealing, what with the tiny granules floating throughout. I know this dessert sounds too good to be true, and it is"
B0002L3BYE:all_the_goodness_every_body_needs:mr_picky,B0002L3BYE,Walden Farms Sugar Free Marshmallow Dip: Gourmet Food,gourmet food,2 of 5,1.0,All the goodness every body needs,"April 13, 2005",Mr Picky,,"Cellulose Gel, Lactic Acid, Sucralose, Titanium Dioxide, Salt, Xanthan Gum, and Potassium Sorbate.....yum can't wait to get me some more titanium dioxide in me...how great does that sound!"
