unique_id,asin,product_name,product_type,helpful,rating,title,date,reviewer,reviewer_location,review_text
B000931OAI:crappy_paper:d._margolis,B000931OAI,"Moleskine Small Plain Notebook - The Legendary Notebook of Hemingway, Picasso, and Chatwin - Moleskin Blank Book Journal Designed in Italy: Office Products",office products,4 of 8,2.0,Crappy Paper,"April 20, 2006",D. Margolis,,"I bought a small one of these with blank, unlined pages as a pocket sketchbook. The pocket sketchbooks commonly sold in art supply stores are one of two varieties, either wire-bound or stitched. The thing is, wire-bound notebooks are uncomfortable to have in a back pocket (and I just don't like the feel, bumping up against the ridges of the wires on that edge), and most stitched bindings don't fold as well as the Moleskine does (folding nice and wide so there's plenty of blank page to use). 

And to be honest, I may've fallen just a little for that pompous tripe about being the sketchbook of great artists. 

The thing is, the paper is terrible. All the 'bloggers and geeks I've heard raving about these notebooks use them for their laundry lists or their ideas to write about or God knows what. And while I'm not the best artist around, I did minor in fine arts in school, so I'm not completely clueless. So take my word (or don't; it's your loss); the paper is just plain bad. 

Most drawing paper has some degree of ""tooth""--the roughness of the paper, which rubs off your graphite or charcoal smoothly onto the page. The tooth on these sketchbooks is nonexistent. Rather than describe in more detail the paper, however, I believe I can give an apt description in two words. 

Manila folder. That's what the paper in these books is like, so as to be nearly indistinguishable (slightly smoother, in fact, than manila folders--even less tooth). While paper quality is something of a personal preference, I've never seen anyone use any paper remotely similar to this for drawing, so I have to question the claim that these pads are identical to those used by Picasso et al. 

On a positive note, the binding is great, the covers are great, and the elastic strap, bookmark ribbon, and back pocket are all great features. But when it comes down to it, I care most about the paper quality. If you want to just write, get one of these. If you intend to do any serious drawing, don't bother."
B0008GIEAE:negative_ten_stars:evan_mcanney,B0008GIEAE,"AVE03279 Dark T-Shirt Transfers, Iron-On, 8-1/2""x11"", 5/Pk: Office Products",office products,1 of 5,1.0,NEGATIVE TEN STARS,"October 24, 2006",Evan Mcanney,,"This is a review of the Avery 3279 Ink Jet Dark T-Shirt Transfers. But I wouldn't be surprised to discover that the rest of the stuff they make is ALSO junk.

This stuff is EXPENSIVE....over $15 for five sheets from Office Depot.
I had put in a brand new ink cartridge just a couple of days prior (HP PSC 1410 Inkjet)  and it was working fine on normal paper. Read all the directions carefully and more than once. First time, the paper CUT OFF the top portion of the image.....sure, blame it on the printer; but if so, why didn't normal paper do this? Second time, it printed really wimpy and hazy grey....yet I had set the printer to use MAXIMUM dpi! I thought, ""OK, maybe it will darken from the heat of the iron. Set the kitchen timer, ironed it exactly as instructed....and it is STILL a sickening hazy grey instead of the crisp black I wanted! AND some of the darkness of the fabric below is showing through the white portions.
Oh yes...it is INCREDIBLY difficult to peel off the backing...you do end up having to tear a portion of the design you create, pretty much ruining it.
 So....wasted time shopping for this. Overpaid for the product. Wasted HOURS prepping the image. And now I have a ruined tote bag that can't be replaced. Avery scum, I HATE YOU"
"B00069DKVQ:wonderful_product,_bogus_price:reader-dan_""reader-dan""",B00069DKVQ,Moleskine Small Address Book: Office Products,office products,3 of 3,2.0,"wonderful product, bogus price","December 29, 2006","Reader-Dan ""Reader-Dan""","Tucson, AZ, USA","This is a great address book, but you should know that the price coming out of the factory is $9.95, not the higher prices cited in this listing"
B000CKXF4Q:flimsy:madoo,B000CKXF4Q,Rolling Portable Laptop Notebook PC Cart Desk Table Tray Stand: Office Products,office products,21 of 21,1.0,flimsy,"May 6, 2006",Madoo,"Los Altos, CA","Though lacking good directions, this was straightforward to assemble.  However, it is flimsy and tilts whenever I lean on it ever so slightly.  I am getting rid of it."
"B000CKXF4Q:nice_looking_hard_to_assemble:julie_lyonn_lieberman_""author""",B000CKXF4Q,Rolling Portable Laptop Notebook PC Cart Desk Table Tray Stand: Office Products,office products,25 of 25,2.0,Nice looking hard to assemble,"March 7, 2006","Julie Lyonn Lieberman ""Author""",NYC,"This stand is nicely designed in terms of function, and it also looks very appealing. The problem is that there are no assembly instructions, just a few pictures, and the design is faulty for assembly. For instance, the hardware can attach the wrong way to the bottom of the smaller shelf when it would have been easy to design it so that the hardware can only go on one way; it took 90 minutes to assemble by 2 skilled men because the pole for each shelf didn't fit well into the mainframe poles (we had to use soap and three people holding and pushing), and the stand had some gashes in it though it was advertised as new. Changing the height of this stand takes 2 people because at first it won't move, and then it falls and hits your knee. Now that it's together, we're using it, but what a price"
"B000JIKKN0:desktop_printer_stand_w/drawers_-_cherry:christine_a._sowin_""pahaska_books""",B000JIKKN0,Desktop Printer Stand w/ Drawers- Cherry: Office Products,office products,0 of 4,1.0,Desktop Printer Stand w/Drawers - Cherry,"February 10, 2007","Christine A. Sowin ""Pahaska Books""","West Hills, CA United States","Poor communication.  I was notified that the printer was not coming when they said it would, but was never given another date.  After waiting some time I cancelled the order and said I ordered another one from someone else.  I guess they don't read their email either.  The next day they shipped the item.  Now I have two, but am not going to spend another $20 to ship it back to them.  Believe me I would never buy from this company again"
"B000NBGW2G:falsely_inflated_list_price_and_""discount"":guy_in_pants",B000NBGW2G,Moleskine City Notebook: Rome PREORDER: Office Products,office products,,1.0,"Falsely Inflated List Price and ""Discount""","April 17, 2007",Guy in Pants,Houston,"These books are a good idea for the repeat visitor to a city-- basically just a place for notes in the lovely (I think) Moleskine format.  The maps, though, can be found better and cheaper on other places.  MORE IMPORTANT,  this seller has claimed a falsely inflated list price and consequent discount that is misleading.  The list price for these books is 17.95.  Check in any book store.  Shame on the seller"
B00067X0O0:failure:guy_h._lewis_iii,B00067X0O0,Black Refill 2 pack + bonus PDA stylus: Office Products,office products,0 of 2,1.0,FAILURE,"January 15, 2007",Guy H. Lewis III,"FAIRFAX, VA",i AM STILL WAITING FOR DELIVERY. pLEASE CONTACT YOUR VENDOR OR CANCEL ORDER. DO NOT CHARGE MY ACCOUNT.
"B0009FUXSA:terrible_quality...:b._fields_""groovyscrap""",B0009FUXSA,Pasta Machine for use with Polymer Clay: Office Products,office products,29 of 29,1.0,Terrible quality...,"March 11, 2006","B. Fields ""Groovyscrap""",Texas,"I bought this machine at Michael's (craft store) for use with Polymer Clay.  The machine was very poorly made and broke on the second day of use!  The ""clamp"" that helps hold it to the table did not fit properly so I had to borrow some of my husband's clamps so it wouldn't move around....but then, while using it, the dials (that gauge the thickness of the clay) completely broke.

I returned it and am going to get a nicer Atlas machine.  Don't waste your time with this one....you'll only be disappointed and frustrated with it"
"B000F1KJFA:great_build,_aesthetically_flawed:duncan_c._jay",B000F1KJFA,"Ciak Small Black Journal, with lined ivory cream interior stock: Office Products",office products,7 of 7,1.0,"Great build, aesthetically flawed","September 22, 2006",Duncan C. Jay,,"Okay, here is the deal.  This thing is built well, but it's dimensions and performance work against it.  It's height and width are just right for a pocket book, but it's thickness gets it in trouble.  It's a clunker, if you put this thing in your pocket (if it will fit) you will feel it.  Hell, it might even pull your pants down.  The thickness also makes it awkward to write in since it never folds flat and there is always resistance when jotting down an idea, which makes writing a chore (which is counter productive to the pocketbook ideal, which is maximum convenience).  If you are looking for a real nice small notebook, opt for a Moleskine.  Pass on this clunker"
